,Unnamed: 0,Unnamed: 0.1,make_model,short_description,price,km,hp,Type,First Registration,Body Color,Body,Gearing Type,Displacement,Fuel,CO2 Emission,Emission Class,consumption_comb,consumption_city,consumption_country,door_number,First_Registration
6064,6064,6064,Opel Astra,K 1.6 CDTI Dynamic Navi Kamera Shz,10480,113308,81.0,Used,2016.0,Black,Sedans,Manual,1.598,DIESEL,,,,,,4,2016
6065,6065,6065,Opel Astra,J GTC 1.6 CDTI Bi-Xenon Temp PDC Navi BT,10480,107915,100.0,Used,2016.0,Red,Sedans,Manual,1.598,DIESEL,111,Euro 6,4.2,4.9,3.8,3,2016
6066,6066,6066,Opel Astra,ST 1.6 CDTI Business SHZ|LRHZ|KLIMAAUTO,10790,67000,70.0,Used,2016.0,Silver,Station wagon,Manual,1.598,DIESEL,99,Euro 6,3.8,4.4,3.4,5,2016
6067,6067,6067,Opel Astra,Sports Tourer Astra ST Edition 1.6 CDTI ecoFlex Ko,10760,117515,81.0,Used,2017.0,Silver,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.5,4.0,3.2,5,2017
6068,6068,6068,Opel Astra,Sports Tourer Astra ST Edition 1.6 CDTI ecoFlex Ko,10760,117515,81.0,Used,2017.0,Silver,Station wagon,Manual,1.598,DIESEL,95,Euro 6,3.5,4.0,3.2,5,2017
6069,6069,6069,Opel Astra,J 1.6 Style ParkPilot|Sitzhzg|Bluetooth,10770,50605,85.0,Used,2016.0,Grey,Station wagon,Manual,1.598,BENZINE,154,Euro 6,6.6,8.5,5.4,4,2016
6070,6070,6070,Opel Astra,"K 1,0 Selection Start/Stop Klima, Sitz- u. L",10750,33208,77.0,Used,2016.0,White,Sedans,Manual,0.999,BENZINE,102,,4.4,5.4,3.9,5,2016
6071,6071,6071,Opel Astra,Edition 1.6 CDTI IntelliLink Tempomat,10750,70725,81.0,Used,2017.0,Silver,Sedans,Manual,1.598,DIESEL,93,Euro 6,3.4,3.9,3.1,5,2017
6072,6072,6072,Opel Astra,J 1.6 CDTI Sports Tourer Edition Euro6 Navi,10750,108000,81.0,Used,2016.0,Silver,Station wagon,Manual,1.598,DIESEL,,,,,,5,2016
6073,6073,6073,Opel Astra,1.6CDTi S/S Dynamic 110,10750,96000,81.0,Used,2016.0,Grey,Compact,Manual,1.598,DIESEL,,,3.0,4.0,3.0,5,2016
6074,6074,6074,Opel Astra,"K 1,0 Selection Start/Stop Klima, Sitz- u. L",10750,33208,77.0,Used,2016.0,White,Sedans,Manual,0.999,BENZINE,,Euro 6,,,,5,2016
6075,6075,6075,Opel Astra,1.6i Cosmo ** 12 M GARANTIE **,10750,62000,85.0,Used,2016.0,Brown,Sedans,Manual,1.598,BENZINE,158,Euro 6,6.7,8.9,5.5,4,2016
6076,6076,6076,Opel Astra,"K 1,0 Selection Start/Stop Klima, Sitz- u. L",10750,33208,77.0,Used,2016.0,White,Sedans,Manual,0.999,BENZINE,,Euro 6,,,,5,2016
